,code,description,disciplinary course(s),consecutive course(s),faculty,cancel_course
3078,chs364,scientific and technological concepts ethics and good practice in research searching the literature regression applications of statistical analyses research design principles factorial design non regular design design with complex aliasing interpretation of analyses,[],[],si,[]
3079,chs371,introduction to petroleum and petrochemical products natural gas and their uses study chemical and physical properties of some important petrochemical products applications of chemical engineering fundamentals to the design of processes in petrochemical industry including refinery and production plants,[],[],si,[]
3080,chs425,a study of the physical chemical and microbiological aspects of food the function of and changes in components during preparation and processing of food,[],[],si,[]
3081,chs482,new topics or areas of study not offered in other chemical engineering courses topics may vary from semester to semester topic covered is different from chs481 and chs483,[],[],si,[]
3082,chs485,a continuation of chs484 a team of students will work on group projects assigned to them the projects can be intensively conducted in industry or within the institute after a project is completed students are responsible for submitting their final report and giving a presentation,[],[],si,[]
3083,css221,representation and manipulation of graphic data representation and transformations of two-dimensional space three-dimensional space illumination and shading modes visualizing and analyzing numerical data associated with scientific business and/or entertainment applications methods of creating storing manipulating presenting and animating two and three dimensional graphical objects elements of image processing programming computer graphics with opengl or similar library,[],[],si,[]
3093,css224,combinational logic computer evolution conventional computer architectures cpu and alu structures and design instruction sets hardwired and microprogrammed control pipelining array and vector processors multiprocessor systems memory organizations cache memory i/o organizations,[],[],si,[]
3096,css225,basic concepts of operating systems processes interprocess communication and synchronization input-output file systems memory management,['disciplinary course(s): its100\nstอบได้ its100 หรือได้รับการอนุมัติจากหัวหน้าภาmaวิชา'],[],si,"['ts100', 'ts100']"
3103,css323,methodologies and strategies for developing medium and large scale software topics include software management problem analysis cost estimation system design techniques system testing and performance evaluation and system maintenance,[],[],si,[]
3105,css332,microcontroller and microprocessor architectures assembly language programming microcontroller interfacing descriptions of the microcontroller-based system components: electronics functions and interfaces system bus interrupts dma and i/o laboratory practice and experimental studies on topics related to microcontrollers,['disciplinary course(s): ees371\nstอบได้ ees371 หรือได้รับการอนุมัติจากหัวหน้าภาmaวิชา'],[],si,"['es371', 'es371']"
3109,css334,an overview of networking and internetworking technologies topics include the open systems interconnect (osi) reference model internet protocol suite standards design concepts of protocols routing algorithms and applications of networks,[],[],si,[]
3111,css400,practical projects or problems in computer engineering for individual students or groups of students under supervision of faculty members students are required to submit and present a project proposal to their project committee appointed by the school,['disciplinary course(s): มีstถานะเป็นนักศึกษาชั้นปีที่ 4 หรือได้รับการอนุมัติจากหัวหน้าภาmaวิชา'],[],si,[]
3112,css403,practical projects or problems in computer engineering for individual students or group of students under supervision of faculty members students are required to submit and present a project report to their project committee appointed by the school,['disciplinary course(s): มีstถานะเป็นนักศึกษาชั้นปีที่stี่ หรือได้รับการอนุมัติจากหัวหน้าภาmaวิชา'],[],si,[]
3113,css431,introduction to machine learning and statistical decision theory adaptive classifiers and supervised and unsupervised learning different types of machine learning and pattern recognition systems are introduced including transducers feature extraction and decision units techniques for optical character recognition speech processing and remote sensing,[],[],si,[]
3114,css432,techniques for filtering junk email techniques for discovering the different meanings of a word efficiently encoding of spelling rules tagging words according to their part of speech parsing english sentences language translation modeling language semantics organization representation and access to information categorization indexing and content analysis data structures for information retrieval design and maintenance of databases indexes classification schemes and thesauri use of codes formats and standards analysis and evaluation of search and navigation techniques,[],[],si,[]
3115,css451,definition and evolution of cloud computing enabling technologies service and deployment models popular cloud stacks and use cases benefits risks and challenges of cloud computing economic models and slas cloud security cloud infrastructure virtualization cloud storage programming models for the cloud,[],[],si,[]
3116,css454,theory and practice of network security focusing in particular on the security aspects of the web and internet security services communication privacy threats against networked applications cryptographic algorithms key management digital signatures certificates and authentication protocols access controls controls against network attacks internet security protocols firewalls intrusion detection systems private e-mails trust management,[],[],si,[]
3118,css499,extensive on-the-job training of at least 16 weeks (640 hours) at a selected organization that provides computer engineering services an individual comprehensive research or practical project must be intensively conducted under close supervision of faculty members and supervisors assigned by the training organization at the end of the training the student must submit a report of the project and also give a presentation,['disciplinary course(s): มีstถานะนักศึกษาชั้นปีที่ 4 หรือได้รับการอนุมัติจากหัวหน้าภาmaวิชา'],[],si,[]
3119,des102,concepts of object oriented programming and introduction to software engineering principles topics include data structure fundamentals; abstraction; encapsulation; inheritance; polymorphism; overloading; pointer and reference variables; recursion and various important algorithms modeling and application with classes member functions constructors and destructors public private and protected access static and non-static members virtual functions and standard i/o,[],[],si,[]
3128,des103,hands-on practice and experiments of topics on object-oriented programming,[],[],si,[]
3144,des232,an overview of basic knowledge related to the process of data exchange between computers topics include analog and digital data transmission systems various network topologies client-server models and structure/mechanism of the 5-layer simplified osi model: application transport network data-link and physical layers,[],[],si,[]
3148,des321,structure and design of computer-based information systems topics included are computer hardware and software database models database management systems system analysis design and implementation,[],[],si,[]
3150,des324,the emergence of the digital economy has unlocked new opportunities for entrepreneurs leading to the creation of new business models innovations and value in data driven sectors this course will give students to understand the nature of business development in the context of new business startups also understand the concepts of innovation and creativity and the roles that both play in entrepreneurship and business development students learn the essential attributes of an entrepreneur and develop a business plan for their startup firm then present this plan in a business pitch students will also explore different kinds of it startup and traditional it business through case studies as well as examines digital marketing strategy implementation and executional considerations for btob and btoc through digital channels and platforms,[],[],si,[]
3152,des329,software models and software modeling methodologies basic abstraction mechanisms in software modeling modeling techniques process and languages software development process object-oriented system analysis and design hands-on practice on software development process and system analysis and design,[],[],si,[]
3154,des332,principles of building secure computer and network systems topics include security knowledge software and network security security knowledge: security and privacy threats and attacks basic cryptography and encryption authentication digital signature security management software security: operating system holes database security trusted and malicious software network security: firewalls intrusion detection systems internet security protocols denial-of service attacks web and mobile security,[],[],si,[]
3160,des400,practical projects or problems in digital engineering for individual students or groups of students under supervision of faculty members students are required to submit and present the project proposal to their project committee appointed by the school,[],[],si,[]
3161,des403,practical projects or problems in digital engineering for individual student or group of students under supervision of faculty members students are required to submits and present the project report to their project committee appointed by the school,[],[],si,[]
3162,des421,this course describe a comprehensive picture of the location-based services(lbs) world and cover key technologies key markets vertical industries applications solutions value chain and key stakeholders this course provides an introduction to digital mapping and location technologies overview satellite based location methods (gnss) mapping and navigation,[],[],si,[]
3163,des422,business domains analysis (healthcare financial etc) business application architecture business requirement analysis business process modeling and visualization application design for business domain user experience analysis and design design thinking for business solution improvement,[],[],si,[]
3164,des431,a process of examining and collecting large data sets to uncover hidden patterns unknown correlations market trends customer preferences and other useful business information this course brings together several key information technologies such as ai machine learning and deep learning technologies for manipulating storing and analyzing big data,[],[],si,[]
3165,des432,statistical methods and probability for data analytics data collection analysis of data interpretation of data data model and visualization data classification probability distributions statistical significance hypothesis testing regression analysis data simulation and analysis using statistical software,[],[],si,[]
3166,des499,extensive on-the-job training of at least 16 weeks at a selected organization that provides digital engineering services - an individual comprehensive research or practical project related to the training must be intensively conducted under close supervision of faculty members and supervisors assigned by the training organization at the end of the training the student must submit a report of the project and also give a presentation,[],[],si,[]
3167,ees203,basic dc and ac circuit analysis; voltage; current and power; transformers; introduction to electrical machinery; generators motors and their uses; concepts of three phase systems; method of power transmission; introduction to some basic electrical instruments,[],[],si,[]
3169,ees204,laboratory practice and experimental studies on topics covered in ees203,['disciplinary course(s): stอบได้หรือศึกษาพร้อมกับ ees203 หรือได้รับการอนุมัติจากหัวหน้าภาmaวิชา'],[],si,['es203']
3172,ees210,laboratory practice and experimental studies on topics covered in ees216,[],[],si,[]
3173,ees211,units and standards of measurement basic op-amp-based instruments in the time domain and frequency domain measurement of dc levels and ac signals using analog and digital instruments; ammeters voltmeters ohmmeters multimeters wattmeters oscilloscopes signal generators and spectrum analyzers analog-to-digital and digital-to-analog converters for instruments power and power factor measurement of impedance transducers and their applications noises and calibration,[],[],si,[]
3174,ees212,electrostatic fields; conductors and dielectrics; capacitance; convection and conduction currents; resistance magnetostatic fields; magnetic materials; inductance time-varying electromagnetic fields; maxwell’s equations,[],[],si,[]
3176,ees270,laboratory practice and experimental studies on topics covered in ees271,[],[],si,[]
3178,ees271,number systems boolean algebra and logic gates combinational logic circuits arithmetic circuits medium-scale integration logic circuits sequential logic circuits (finite state machines) programmable logic devices logic gate characteristics introduction to digital integrated circuits,[],[],si,[]
3179,ees281,continuous-time and discrete-time signals and systems linear systems and their properties fourier analysis of continuous-time and discrete-time signals and systems sampling and convolution reconstruction of signals laplace transform and its applications to continuous-time system analysis z-transform and its applications to discrete-time system analysis,[],[],si,[]
3181,ees298,basic project design concept: conceive design implementation and operation (cdio) problem-based learning focusing on conceive and design processes multi-disciplinary and self-driven initiatives idea generation and teamwork skill training,[],[],si,[]
3182,ees299,project design concept: conceive design implementation and operation (cdio) problem-based learning focusing on conceive and design processes multi-disciplinary and self-driven initiatives idea generation: creative solution and efficiency concern effective communication skill technical presentation skill teamwork skill,[],[],si,[]
3183,ees306,basic concepts in power system analysis such as phasors complex power power factor improvement three-phase circuits voltage current and power calculations in single phase and three phase systems introduction to magnetic circuits and transformers basic concept of dc and ac rotating machines induction motor and synchronous generator: principles characteristic operations and applications,[],[],si,[]
3185,ees330,laboratory practice and experimental studies on topics covered in ees331 and ees332,[],[],si,[]
3186,ees331,semiconductors and pn junction diodes diode circuits and power supply modules bipolar junction transistors (bjts) and field-effect transistors (mosfets nmos pmos cmos jfets) dc and ac analysis of single-stage and multi-stage amplifiers based on transistors frequency response of amplifiers operational amplifiers,[],[],si,[]
3187,ees342,electrical power system structure; ac power circuits; per unit system; generator characteristics and models; power transformer characteristics and models; transmission line parameters and models; cable parameters and models; fundamental of load flow; fundamentals of fault calculation,[],[],si,[]
3188,ees370,laboratory practice and experimental studies on topics covered in ees371,['disciplinary course(s): stอบได้หรือศึกษาพร้อมกับ ees371 หรือได้รับการอนุมัติจากหัวหน้าภาmaวิชา'],[],si,['es371']
3196,ees371,number systems and codes logic signals and gates electronic circuits of logic gates logic gate families logic gate characteristics arithmetic circuits combinational logic circuits sequential logic circuits programmable logic devices introduction to a/d and d/a conversions introduction to digital integrated circuits,['consecutive course(s): css332'],[],si,['ss332']
3197,ees380,laboratory practice and experimental studies on topics covered in ees381,[],[],si,[]
3198,ees398,project design concept: conceive design implementation and operation (cdio) project-based learning focusing on design and implementation processes creative solution and efficiency concern effective communication and technical presentation skill training,[],[],si,[]
3200,ees446,fundamentals of energy efficiency; principles of energy efficiency in buildings and industry; load management; laws and regulations of energy conservation; energy management and analysis in building and industrial; technical aspects to use energy efficiently in lighting systems heating and ventilating and air-conditioning (hvac) systems industrial motors; co-generation; energy conservations and economic analysis,[],[],si,[]
3201,ees448,electrical hazards and safety measures; causes of electrical accidents and injuries; electric shock; step and touch potentials; electrostatic discharge (eds); electrical arc flash and protection; electrical isolation; practical grounding bonding and shielding; electrical safety testing; circuit protection devices; electrical safety guidance for low-voltage and high-voltage systems; electrical safety in the workplaces,[],[],si,[]
3202,ees472,continuous-time and discrete-time signals spectral analysis; decimation and interpolation; sampling rate conversion; dft; probabilistic methods in dsp; design of fir iir digital filters multirate systems and filter banks; discrete wavelet transform; introduction to some dsp applications such as image processing speech and audio processing array processing and further current applications,[],[],si,[]
3203,ees498,practical projects or problems in electrical engineering for individual students or groups of students under supervision of faculty members students are required to submit complete project reports and present the project results to their project committee appointed by the program,[],[],si,[]
3204,ees499,full-time research or practical training under close supervision of faculty members and assigned supervisors from the electrical engineering -related company for at least 16 weeks (640 hours) evaluation based on the project achievement project report and final oral presentation,[],[],si,[]
3205,gts101,this course provides a flexible approach to grammar instruction and integrates the study of new structures (form) with information on how to use them and what they mean (function) comprehensive grammar coverage ensures a thorough and effective presentation of all basic structures extensive practice guides students to accurate production and fluent use of new grammar short writing assignments incorporate grammar into step-by-step tasks for a variety of writing purposes such as narrating and describing there is also a focus on real-world listening skills,[],[],si,[]
3210,gts117,introduction to vectors curves and surfaces in space; partial differentiation; directional derivatives and the gradient vector; integration techniques of integration and logarithmic functions three-dimensional analytic geometry differential and integral calculus of functions of two or three variables: partial derivatives multiple integrals lagrange multipliers and green’s theorem,['disciplinary course(s): gts116  orapproved by department/instructor\nstอบได้ gts116 หรือได้รับการอนุมัติจากหัวหน้าภาmaวิชา'],"['consecutive course(s): gts210, ies302']",si,"['ts116', 'ts116', 'ts210', 'es302']"
3212,gts121,elements of mechanics concept of vectors forces motion energy and conservation laws elements of electromagnetism electric field and potential magnetic field faraday’s law of induction electromagnetic wave and applications introduction to circuit analysis,['consecutive course(s): mts256'],[],si,['ts256']
3217,gts124,basic terminologies and concepts of artificial intelligence (ai) machine learning artificial neural networks and deep learning applications of ai in various fields including transportation management systems information technology systems and business models various issues and concerns surrounding ai such as ethics bias and arguments and jobs of future demands the impact of ai in decision making and organizational behavior,[],[],si,[]
3220,gts131,introduction to sustainable development goals (sdgs) circular economy and how to solve challenging issues we are facing due to a growing world population ie waste climate change resource scarcity loss of biodiversity how businesses can create value by reusing and recycling products how designers can come up with effective solutions how we can contribute to make the circular economy happen for sustainable development,[],[],si,[]
3223,gts133,the ecology of natural systems ecosystems and growth food production and land use extinction and genetic resources sources of energy energy utilizationand related environmental issues control of pest and weeds water resources and water pollution air pollution solid waste the environment and human health,[],[],si,[]
3225,gts202,the course aims to further develop students’ english proficiency the course emphasizes on academic writing from basic sentences and paragraphs to more complex structures the english structures covered in this course will aid the students in preparing for standardized english examinations,[],[],si,[]
3227,gts212,real numbers functions and their graphs: polynomial rational exponential logarithmic and trigonometric functions analytic trigonometry limits and continuity of functions derivatives rules of differentiation product and quotient rules higher order derivatives chain rule derivative of implicit functions indefinite integration and techniques of integration integration by substitution integration by parts examples in class selected for technologists,"['consecutive course(s): gts213, mts333']",[],si,"['ts213', 'ts333']"
3228,gts213,applications of differentiation partial derivatives-chain rule optimization integration by partial fractions applications of integration for technologists: areas consumer surplus separable differential equations: population growth flow processes finance and investment models sequence and series-power series taylor series,['disciplinary course(s): gts212\nstอบได้ gts212 หรือได้รับmaวามเห็นชอบจากหัวหน้าภาmaวิชา'],[],si,"['ts212', 'ts212']"
3248,gts303,this course prepares students to communicate effectively in various types of business situations students learn how to write professional letters and emails with an emphasis on tone format and formality students also make a resume and cover letter and give a business style presentation by expressing ideas in a thoughtful and professional manner students gain important skills that are necessary for success in the business world,[],[],si,[]
3250,ies302,this course discusses fundamentals of probability discrete and continuous probability distributions conditional probability moment generating functions discrete and continuous random variables sampling distributions hypothesis testings of the means variances and proportions regression analysis will also be introduced,['disciplinary course(s): mas117 or\ngts117\nstอบได้ mas117 หรือ gts117 หรือได้รับการอนุมัติจากหัวหน้าภาmaวิชา'],"['consecutive course(s): ies321, ies331, ies365']",si,"['as117', 'ts117', 'as117', 'ts117', 'es321', 'es331', 'es365']"
3255,ies305,the first course in the senior project course series a student team will be given a real world problem which they must determine appropriate approaches and actions to obtain feasible solutions this involves establishment of initial contacts project proposal development preliminary data collection data analysis verification of the results and practical implementation a presentation of the progress and a submission of the status report are due at the end of the semester,['disciplinary course(s): stถานภาพนักศึกษาชั้นปีที่ 4 หรือได้รับการอนุมัติจากหัวหน้าภาmaวิชา'],[],si,[]
3256,ies313,modern methods applied to facility layout and location design are discussed logistics of motion of people and materials flow analysis plant layout and material handling techniques are covered students will study the mathematical approaches and computer packages applicable for solving facility layout and location problems,[],[],si,[]
3257,ies323,a study of the components and functions of integrated production planning and control systems consideration is given to material equipment and manpower requirements for optimizing continuous and intermittent manufacturing operations topics discussed include demand forecasting hierarchical production planning capacity planning line balancing operation sequencing and scheduling etc,['consecutive course(s): ies324'],[],si,['es324']
3258,ies341,introduction to the principles of engineering economics for utilization and evaluation of capital investments this course covers time value of money net present value rate of return depreciation and selection of the best economic investment alternative decisions involving multiple choice replacement uncertainty risk and estimating income tax consequences will also be discussed,['consecutive course(s): ies345'],[],si,['es345']
3260,ies342,the course provides an understanding of the tools and techniques applicable for cost analysis and control topics discussed include financial analysis of the accounting system standard costs variance analysis cost-volume-profit relationships cost estimation and utilization of accounting data for control of operations,[],[],si,[]
3261,ies361,introduction to the theory and practice of manufacturing processes study covers various types of casting and metal forming processes and technologies this course emphasizes process selection and design of cost effective manufacturing processes linkage between process design and production planning and control is considered,['disciplinary course(s): ies301\nstอบได้ ies301 หรือได้รับการอนุมัติจากหัวหน้าภาmaวิชา'],['consecutive course(s): ies364'],si,"['es301', 'es301', 'es364']"
3262,ies362,this course provides hands-on exercises on cad/cam cnc machine programming and control (lathe and milling) and robot programming and control,['disciplinary course(s): stถานะนักศึกษาชั้นปีที่ 3'],[],si,[]
3263,ies376,this course is specifically designed for students to understand the principles of logistics and supply chain management major topics include logistic planning; cooperation and management in the supply chain; transportation; material purchasing and inventory control; packaging; integration between production planning and distribution among partners in the chain; and information system the present and future roles of logistics in the supply chain management are also discussed,[],[],si,[]
3264,ies392,this course is a problem-based course on systems simulation this course introduces the application of discrete time simulation modeling for the analysis of complex manufacturing and service systems using case examples in warehousing material handling banking etc applications of continuous time and combined discrete-continuous simulation modeling will also be illustrated students will gain first-hand practice on how to use state-of-the-art simulation software through a series of laboratory exercises or a realistic semester project,['disciplinary course(s): stอบได้ ies302 หรือได้รับการอนุมัติจากหัวหน้าภาmaวิชา'],[],si,['es302']
3265,ies394,to provide insight into concepts and techniques of intelligent systems topics covered include search methodologies knowledge representation components of knowledge-based systems design of knowledge bases and inferencing applications of knowledge-based systems in design of products processes systems as well as machine diagnostics production planning and scheduling will also be introduced,[],[],si,[]
3267,ies395,this course is designed for topics related to industrial engineering but not presently offered as either a required or technical elective,[],[],si,[]
3268,ies401,a continuation of ies305 an individual student or a team of students will work on the individual or group projects assigned to them the projects can be intensively conducted in industrials or within the institute after a project is completed students are responsible for submitting their final report and giving a presentation,['disciplinary course(s): stอบได้ ies305 หรือได้รับการอนุมัติจากหัวหน้าภาmaวิชา'],[],si,['es305']
3275,its329,software models and software modeling methodologiesbasic abstraction mechanisms in software modeling modeling techniques process and languages software development process object-oriented system analysis and design hands on practice on software development process and system analysis and design,['disciplinary course(s): its100\nstอบได้ its100 หรือได้รับการอนุมัติจากหัวหน้าภาmaวิชา'],[],si,"['ts100', 'ts100']"
3281,las101,development of critical thinking through questioning analytical synthetic and evaluation skills students learn how to read without necessarily accepting all the information presented in the text but rather consider the content in depth taking into account the objectives perspectives assumptions bias and supporting evidence as well as logic or strategies leading to the author’s conclusion the purpose is to apply these methods to students’own persuasive writing based on information researched from various sources using effective presentation techniques,[],[],si,[]
3282,mas116,mathematical induction; functions; limits; continuity; differential calculus: derivatives of functions higher order derivatives extrema applications of derivatives indeterminate forms; integral calculus: integrals of functions techniques of integration numerical integration improper integrals; introduction to differential equations and their applications; sequence and series: taylor’s expansion infinite sums,['consecutive course(s): mts333'],[],si,['ts333']
3284,mas117,analytic geometry in calculus: polar and curvilinear coordinates; three-dimensional space – vectors lines planes and surfaces in three-dimensional space; function of several variables; calculus of real-valued functions of several variables and its applications: partial derivatives extremes of functions functions of higher derivatives lagrange multipliers; topics in vector calculus: line and surface integrals green’s theorem,['disciplinary course(s): stอบได้ mas116 หรือได้รับการอนุมัติจากหัวหน้าภาmaวิชา'],"['consecutive course(s): ies201, ies302, mts231']",si,"['as116', 'es201', 'es302', 'ts231']"
3292,mes211,fundamental concepts in thermodynamics the first and second law of thermodynamics basic concepts and basic properties of fluids fundamentals of fluid statics fundamentals of fluid dynamics characteristics of fluids such as laminar and turbulent flows,[],[],si,[]
3294,mes231,force systems; resultants; equilibrium; trusses; frames and machines; internal force diagrams; mass and geometric properties of objects; fluid statics; kinematics and kinetics of particles and rigid bodies; newton’s second law of motion; work and energy impulse and momentum,['disciplinary course(s): stอบได้ scs138 หรือได้รับการอนุมัติจากหัวหน้าภาmaวิชา'],[],si,['cs138']
3295,mes301,use of industrial computer aided design software for design analysis modeling and simulation of mechanical engineering problems and related applications introduction to three-dimensional wireframe surfacing and solid modeling using cad tools,[],[],si,[]
3297,mes302,use of industrial computer aided design software for detail design and drafting in various engineering fields such as in mechanical civil and electrical engineering introduction to three-dimensional wireframe surfacing and solid modeling using cad tools,['disciplinary course(s): stอบได้ mes300 หรือได้รับการอนุมัติจากหัวหน้าภาmaวิชา'],[],si,['es300']
3298,mes311,first law of thermodynamics; second law of thermodynamics and carnot cycle; energy; entropy; basic heat transfer and energy conversion,[],[],si,[]
3300,mes312,properties of fossil fuels production of synthetic fuels from biomass coal oil shales and tar sands stoichiometry combustion processes and emission control in boilers and furnaces internal combustion engines and gas turbines turbulent flame laminar flame,[],[],si,[]
3301,mes313,internal combustion engine fundamentals spark-ignition and compression-ignition engines fuels and combustion ignition systems ideal fuel air cycle supercharging and scavenging performance and testing lubrication,[],[],si,[]
3302,mes321,steady-state conduction natural convection forced convection thermal radiation unsteady-state conduction combined heat transfer problems condensation and boiling heat transfer heat exchangers,[],[],si,[]
3303,mes331,concepts of internal force and stress and deformation and strain analysis of stress and strain mohr’s circles for stress and strain stress-strain relationship stress and strain in thin-walled pressure vessels thermal stresses energy method torsion of circular shaft thin-walled tubes and close-coiled helical spring shear force bending moment and bending stress in beams deflection of beams,[],[],si,[]
3305,mes341,motion of fluid particles and stream lines momentum equation and applications energy equation and applications laminar and turbulent internal flows flow of fluid around a body boundary layers similarity and dimensional analysis theories and designs of centrifugal and axial-flow pumps fans water turbines and cavitation flows in open channels compressible flow,['disciplinary course(s): stอบได้ scs138 หรือได้รับการอนุมัติจากหัวหน้าภาmaวิชา'],[],si,['cs138']
3306,mes351,dynamics of particles: velocity acceleration force momentum laws of motion work power energy impulse impact of elastic bodies projectiles circular motion dynamics of rigid bodies: moment of inertia and radius of gyration of various rigid bodies rigid-body motion force and acceleration work and energy impulse and momentum,[],[],si,[]
3308,mes371,the course discusses properties and structure of material including metals alloys ceramics polymers wood concrete composites and solid-state materials study of microstructures in relationship with mechanical properties of materials and phase equilibrium diagrams effects of production processes on microstructure of materials degradation and failure analysis,[],[],si,[]
3310,mes381,measurements and instrumentation of motion stress and strain force torque pressure temperature and fluid flow measurement circuits data processing and acquisition systems statistical data analysis uncertainty analysis,[],[],si,[]
3311,mes383,static and dynamic modeling of hydraulic and pneumatic components and systems energy and power transfer and impedance matching concepts dynamic performance and stability of open and closed-loop servodrives introduction to hydraulic and pneumatic control system design,[],[],si,[]
3313,mes390,a service course for students with major outside mechanical engineering experimental practices cover fluid mechanics heat transfer thermodynamics combustion and emission mechanism physical and mechanical properties of materials technical notes on the experimental tests have to be submitted for grading,['disciplinary course(s): stอบได้ mes211 หรือ mes311 หรือได้รับการอนุมัติจากหัวหน้าภาmaวิชา'],[],si,"['es211', 'es311']"
3315,mes403,students are required to present seminars on current development of mechanical engineering to their class mates and faculties the seminars may lead to senior projects later on the reports of the seminars have to be submitted for grading,[],[],si,[]
3316,mes407,a final course involving individual or group projects including design analysis and implementation of mechanical systems selected from various interested areas within mechanical engineering students are required to propose their projects during the first semester of their senior year after a project is completed students are responsible for submitting their final report and giving a presentation,[],[],si,[]
3317,mes408,students are provided with extensive on-the-job training at selected modern mechanical engineering facilities the purposes of the course are to allow the students opportunities to work and intensively conduct an individual research or practical project for at least 16 weeks (640 hours) under the close supervision of faculty members and main supervisors assigned by the training company after the project is completed students are responsible for submitting their final report and giving a presentation,[],[],si,[]
3318,mes474,efficient uses of thermal equipment and systems such as boilers and steam equipment evaporator and condenser pre-heater and economiser dryers and drying systems etc,[],[],si,[]
3319,mes494,new topics or areas of study not offered in other mechanical engineering courses topics may vary from semester to semester and will not be the same as the one offered in special topic ii mes495,[],[],si,[]
3321,mes495,new topics or areas of study not offered in other mechanical engineering courses topics may vary from semester to semester and will not be the same as the one offered in special topic i mes494,[],[],si,[]
3322,mts214,a basic understanding of legal issues that corporations face during their existence legal systems and basic legal principles affecting various forms of business review of contracts: sales hiring purchasing agency mortgages leasing creditors’ rights and bankruptcy etc the applications of law to financial instruments laws on management of business organizations a broad array of law-sensitive issues: intellectual property patent labor duties of directors and officers business disputes and bankruptcy and reorganization,[],[],si,[]
3323,mts231,fundamentals of statistics: discrete random variables and probability distribution functions continuous random variables and probability distributions point estimation interval estimation tests of hypotheses analysis of variance and regression analysis examples and applications in class selected for managers,['disciplinary course(s): gts111 or\nmas117\nstอบได้ gts111 หรือ mas117 หรือได้รับmaวามเห็นชอบจากหัวหน้าภาmaวิชา'],"['consecutive course(s): mts235, mts332, mts351, mts394']",si,"['ts111', 'as117', 'ts111', 'as117', 'ts235', 'ts332', 'ts351', 'ts394']"
3324,mts232,functions in modern manufacturing and service organizations: operation strategy decision analysis operating system design facility design project management supply-chain management forecasting capacity and aggregate planning inventory management scheduling and quality management,[],[],si,[]
3325,mts233,principles of domestic and international supply chain systems: introduction to logistics transportation production planning inventory control purchasing and procurement packaging supply chain integration and information technology for supply chain management,[],[],si,[]
3326,mts235,linear parametric and non-parametric methods of regression and classification simple regression multiple regression binary logistic regression multinomial (nominal and ordinal) logistic regression discriminant analysis non-parametric regression and classification principal components analysis and dimension reduction time series hand-on experience using software such as r or other equivalent software examples in class selected for data scientists,['disciplinary course(s): mts231 and mts254\nstอบได้ mts231 และ mts254 หรือได้รับmaวามเห็นชอบจากหัวหน้าภาmaวิชา'],[],si,"['ts231', 'ts254', 'ts231', 'ts254']"
3327,mts254,applications of quantitative methods: linear programming modeling graphical method for linear programming and sensitivity analysis assignment problems network models integer linear programming goal programming analytic hierarchy process decision analysis project management simulation and forecasting models,['disciplinary course(s): gts111\nstอบได้ gts111 หรือได้รับmaวามเห็นชอบจากหัวหน้าภาmaวิชา'],"['consecutive course(s): mts235, mts351']",si,"['ts111', 'ts111', 'ts235', 'ts351']"
3328,mts256,basic principles of themofluid science mass-energy equation conservation of mass and energy energy transfer by heat work and mass thermodynamic properties properties of pure substances first and second law for closed and open systems flow in pressure conduit entropy fluid properties fluid statics momentum equation and mechanisms of heat transfer,['disciplinary course(s): gts121\nstอบได้ gts121 หรือได้รับmaวามเห็นชอบจากหัวหน้าภาmaวิชา'],[],si,"['ts121', 'ts121']"
3329,mts257,an overview of electrical and electronics engineering: electrical signals basic circuit theory dc and ac analysis kirchoff’s law thevenin theorem three-phase circuits basic electronic devices and circuits fundamentals of operational amplifiers fundamentals of power systems schematic diagram one-line diagram dc and ac motor and generator modeling transformer modeling loss and efficiency of dc/ac machinery and household/industry wiring,[],[],si,[]
3330,mts302,this extended management technology training provides students with intensive on-the-job training at selected industrial or service organizations the training period must not be less than 16 weeks (640 hours) this intensive training enables students to work with company personnel to solve real problems not simulated ones students gain hands-on experience on how various modern technologies are applied to manage facilities and systems moreover they will learn how to collaborate with colleagues coordinate project activities and develop self-responsibility in addition to a designated supervisor at the company a faculty member is assigned to co-supervise a student’s training program an approved industrial project is expected to be carried out by the student at the end of the training period the student must give an oral presentation of his/her work and submit a written report of the assigned project to the company and the mt program,[],[],si,[]
3331,mts304,the extended engineering management training provides students with intensive on-the-job training at selected industrial or service organizations the training period must not be less than 16 weeks (640 hours) this intensive training enables students to work with company personnel to solve real problems not simulated ones students gain hands-on experience on how various modern technologies are applied to manage facilities and systems moreover they earn how to collaborate with colleagues coordinate project activities and develop self-responsibility in addition to a designated supervisor at the company a faculty member is assigned to co-supervise a student’s training program an approved industrial project is expected to be carried out by the student at the end of the training period the student must give an oral presentation or his/her work and submit a written report to the assigned project to the company and the engineering management program,[],[],si,[]
